type,buy,sell,update
SJC,90.100,87.700,15/05/2024 15:49:57
PNJ,76.500,74.600,14/05/2024 07:48:36
PNJ,76.500,74.600,14/05/2024 09:11:59
SJC,89.500,87.200,14/05/2024 07:48:36
SJC,89.000,86.000,14/05/2024 09:11:59
PNJ,76.800,74.900,13/05/2024 07:59:52
PNJ,76.800,74.900,13/05/2024 08:47:36
PNJ,76.800,74.900,13/05/2024 10:13:28
PNJ,76.800,74.900,13/05/2024 10:58:08
SJC,89.700,87.000,13/05/2024 07:59:52
SJC,88.500,85.500,13/05/2024 08:47:36
SJC,88.800,86.000,13/05/2024 10:13:28
SJC,90.000,87.500,13/05/2024 10:58:08
PNJ,76.800,74.900,11/05/2024 08:14:12
PNJ,76.800,74.900,11/05/2024 10:48:44
SJC,92.200,89.900,11/05/2024 08:14:12
SJC,91.300,88.800,11/05/2024 10:48:44
PNJ,76.000,74.200,10/05/2024 08:16:33
PNJ,76.000,74.200,10/05/2024 08:18:06
PNJ,76.000,74.200,10/05/2024 08:59:56
PNJ,76.100,74.300,10/05/2024 09:58:13
PNJ,76.100,74.300,10/05/2024 10:49:35
PNJ,76.100,74.300,10/05/2024 11:10:10
PNJ,76.100,74.300,10/05/2024 13:14:00
PNJ,76.600,74.700,10/05/2024 14:05:52
PNJ,76.800,74.900,10/05/2024 16:27:31
SJC,89.500,87.200,10/05/2024 08:16:33
SJC,89.500,87.200,10/05/2024 08:18:06
SJC,90.500,87.900,10/05/2024 08:59:56
SJC,90.800,88.000,10/05/2024 09:58:13
SJC,91.900,88.800,10/05/2024 10:49:35
SJC,91.800,88.800,10/05/2024 11:10:10
SJC,92.000,89.700,10/05/2024 13:14:00
SJC,92.200,89.900,10/05/2024 14:05:52
SJC,92.200,89.900,10/05/2024 16:27:31
PNJ,75.100,73.300,09/05/2024 08:06:21
PNJ,75.100,73.300,09/05/2024 09:00:34
PNJ,75.100,73.300,09/05/2024 13:12:38
PNJ,75.300,73.500,09/05/2024 14:07:30
SJC,87.500,85.200,09/05/2024 08:06:21
SJC,88.000,86.000,09/05/2024 09:00:34
SJC,88.800,86.500,09/05/2024 13:12:38
SJC,89.100,86.800,09/05/2024 14:07:30
PNJ,75.100,73.300,08/05/2024 07:53:30
SJC,87.400,85.100,08/05/2024 07:53:30
PNJ,75.300,73.500,07/05/2024 08:14:25
PNJ,75.300,73.500,07/05/2024 09:19:22
PNJ,75.300,73.500,07/05/2024 10:10:39
SJC,86.500,84.300,07/05/2024 08:14:25
SJC,86.950,84.800,07/05/2024 09:19:22
SJC,87.400,85.100,07/05/2024 10:10:39
PNJ,74.950,73.100,06/05/2024 08:11:17
